ID,subject,tumor_type,treatment,time,logvol,logvol_norm,vol,vol_norm
X-0933_untreated,X-0933,CRC,control,0,5.375741264,0,216.1000001,1
X-0933_untreated,X-0933,CRC,control,3,5.671259283,0.295518019,290.4,1.343822304
X-0933_untreated,X-0933,CRC,control,6,5.862778539,0.487037275,351.6999998,1.627487273
X-0933_untreated,X-0933,CRC,control,14,6.246300545,0.870559281,516.0999999,2.388246181
X-0933_untreated,X-0933,CRC,control,17,6.255750042,0.880008778,521.0000001,2.410920869
X-0933_untreated,X-0933,CRC,control,21,6.41656887,1.040827606,611.8999997,2.831559461
X-0933_untreated,X-0933,CRC,control,24,6.478970366,1.103229102,651.3000003,3.013882462
X-0933_untreated,X-0933,CRC,control,28,6.758907182,1.383165918,861.6999998,3.987505781
X-0933_untreated,X-0933,CRC,control,31,6.873577827,1.497836563,966.3999998,4.472003699
X-0933_untreated,X-0933,CRC,control,36,6.953588695,1.577847431,1046.9,4.844516424
X-1027_untreated,X-1027,CRC,control,0,5.701112246,0,299.2,1
X-1027_untreated,X-1027,CRC,control,3,6.381646798,0.680534552,590.8999998,1.974933155
X-1027_untreated,X-1027,CRC,control,7,6.647039655,0.945927409,770.5000002,2.575200536
X-1027_untreated,X-1027,CRC,control,10,7.057811875,1.356699629,1161.9,3.883355615
X-1027_untreated,X-1027,CRC,control,14,7.303372051,1.602259805,1485.3,4.964237968
X-1027_untreated,X-1027,CRC,control,17,7.442551303,1.741439057,1707.099999,5.705548127
X-1055_untreated,X-1055,CRC,control,0,5.434158589,0,229.0999999,1
X-1055_untreated,X-1055,CRC,control,5,5.94463496,0.510476371,381.7000001,1.66608468
X-1055_untreated,X-1055,CRC,control,9,6.265491309,0.83133272,526.1000001,2.29637713
X-1055_untreated,X-1055,CRC,control,12,6.272499577,0.838340988,529.8000001,2.312527282
X-1055_untreated,X-1055,CRC,control,16,6.330611774,0.896453185,561.4999999,2.450894806
X-1055_untreated,X-1055,CRC,control,19,6.616868076,1.182709487,747.6000003,3.263203844
X-1055_untreated,X-1055,CRC,control,22,6.753554598,1.319396009,857.1000001,3.741161067
X-1055_untreated,X-1055,CRC,control,26,6.792456655,1.358298066,891.1000003,3.889567878
X-1055_untreated,X-1055,CRC,control,29,6.895885106,1.461726517,988.1999996,4.313400262
X-1055_untreated,X-1055,CRC,control,33,7.027491961,1.593333372,1127.2,4.920122222
X-1119_untreated,X-1119,CRC,control,0,5.392262979,0,219.6999999,1
X-1119_untreated,X-1119,CRC,control,1,5.303802297,-0.088460682,201.1,0.915339099
X-1119_untreated,X-1119,CRC,control,6,5.821861763,0.429598784,337.6000001,1.536640875
X-1119_untreated,X-1119,CRC,control,11,6.122054117,0.729791138,455.8000001,2.074647247
X-1119_untreated,X-1119,CRC,control,14,6.381646798,0.989383819,590.8999998,2.689576696
X-1119_untreated,X-1119,CRC,control,18,6.415424238,1.023161259,611.2000001,2.781975423
X-1119_untreated,X-1119,CRC,control,21,6.756816103,1.364553124,859.8999996,3.9139736
